NOME;CIDADE;EMAIL ;CONTATO DE REFERENCIA ;TELEFONE
AMBULATÓRIO IVO MORGANTI DE SAÚDE MENTAL ;IBATÉ;mentalibate@gmail.com;RAFAEL NASCIMENTO DEVECHIO;(19) 982045638/(16) 33434781
AMBULATÓRIOD DE SAÚDE MENTAL;CRAVINHOS;saudemental@cravinhos.sp.gov.br;LILIAM MOREIRA BIS;(16) 39517006/(16) 39517722
CAPS - BURITAMA;BURITAMA;caps.buritama@live.com /  silviaines54@hotmail.com;SILVIA INES SIMON FALEIROS;(18) 998218450 /(18) 36912668
CAPS - CENTRO DE ATENÇÃO PSICOSSOCIAL;IRACEMÁPOLIS;caps@saude.iracemapolis.sp.gov.br ;SUZANA CARDOSO TERRA - RESPONSAVEL TÉCNICA ;(19) 3456-.7079 / (19) 999400045
CAPS - CENTRO DE ATENÇÃO PSICOSSOCIAL ;OSVALDO CRUZ;saudemental@osvaldocruz.sp.gov.br;GISLAINE FERREIRA -ASSISTENTE SOCIAL;(18)3528.0896
CAPS - CRUZEIRO;CRUZEIRO/SP;caps1cruzeirosp@gmail.com; NAZHA RACHID EL KADOUM;(12) 1231448854 / (12) 991022329
CAPS  DESCALVADO;DESCALVADO;caps.descalvado@hotmail.com;GLAUCIA REGINA AMARAL PINA;(19) 1935837781 / (19) 35837777
CAPS - FRANCA;FRANCA;julianeblanco@franca.sp.gov.br;JULIANE BLANCO;(16) 1621033016
CAPS - GUARARAPES;GUARARAPES;caps@guararapes.sp.gov.br;(HELOISA ROSSI;(18) 1834062228 / (16) 37213947
CAPS - GUARIBA;GUARIBA;capguariba@outulook.com.br;SEM INFORMAÇÃO;(13) 651699796
CAPS - ITARARÉ;ITARARÉ;saudecaps@itarare.sp.gov.br;MARCIA APARECIDA PADILHA;(15) 1535324799 / (15) 998066149
CAPS - MINEIROS DO TIETÊ;MINEIROS DO TIETÊ;caps@mineirosdotiete.sp.gov.br  / janzamb@hotmail.com;JANAINA -ASSISTENTE SOCIAL;(14) 997510319 / (14) 36462433
CAPS - PARIQUERA-AÇU;PARIQUERA-AÇU;capspariqueraacu@gmail.com;CARLOS EDUARDO GENTILE GOMES;(13) 38561762 / (13) 99796872
CAPS 1 RECOMEÇO - VALPARAÍSO;VALPARAISO/SP;saude.caps@valparaiso.sp.gov.br / caps.recomeco@hotmail.com;ANDRESSA ;(18) 3401-3459
CAPS AD -  DIADEMA;DIADEMA/SP;rita.gouveia@diadema.sp.gov.br;RITA GOUVEIA;(11) 40447387
CAPS AD -  PENÁPOLIS;PENÁPOLIS;capsad@cimpe.sp.gov.br;ISABEL CRISTINA FERREIRA ESCUDEIRO DE MORAES;(18) 3652-.5407 / (18) 36523455
CAPS AD -  VOTUPORANGA;VOTUPORANGA;capsad@santacasavotuporanga.com.br;FÁBIO RODRIGO GONCALVES DOS SANTOS;(17) 3423-.6343 / (17) 996137947
CAPS AD - ANDRADINA;ANDRADINA;caps@ciensp.sp.gov.br / rainynaia@hotmail.com;RAINY NAIA ALVES;(18) 3723-7287 / (18) 981210882
CAPS AD - RIO CLARO;RIO CLARO;capsadrc@gmail.com / saudemental.reab.rc@gmail.com;NATHALIA C. G. DE ALMEIDA RODRIGUES;(19) 3525-.7204 / (19) 35221421
CAPS AD - ARARAQUARA;ARARAQUARA;capsad@araraquara.sp.gov.br;STELLA GLENIA TOSTES DIAS DE FIGUEIREDO;(16) 33223329 / (16) 33222652
CAPS AD - BAURU;BAURU;valeriagimenes@bauru.sp.gov.br;VALÉRIA GIMENES - COORDENAÇÃO;(14)3227-.3287/ (14) 32273788
CAPS AD - BEBEDOURO;BEBEDOURO;dms.asocialcaps@bebedouro.sp.gov.br / caps@bebedouro.sp.gov.br;CATIA MEIRA LEITE - COORDENADORA DA SAÚDE MENTAL;(17) 33448147
CAPS AD - CAÇAPAVA;CAÇAPAVA;caps.saude@cacapava.sp.gov.br;FÁBIO ALEXANDRE GOMES - COORDENAÇÃO ;(12) 36553219 / (12) 997375494
CAPS AD - CATANDUVA;CATANDUVA;capsad@catanduva.sp.gov.br;APARECIDA LUCIA PEREIRA DOS REIS - : ENFERMEIRA RESPONSÁVEL TÉCNICA;(17) 30412265
CAPS AD - DRACENA;DRACENA;sms.caps@dracena.sp.gov.br;MARAISA FERNANDES;(18) 38224950
CAPS AD - FRANCO DA ROCHA;FRANCO DA ROCHA;capsadfr@gmail.com;ELAINA APARECIDA SANTOS SILVA  - GERENTE/PSICOLOGA;(11) 48001318
CAPS AD - GUARUJÁ;GUARUJÁ;capsadguaruja@gmail.com;MARIANA BRITTO - PSICOLOGA E SUPERVISORA TECNICA;(13) 33423202 / (13) 99162152
CAPS AD - ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;capsad.itapecerica@hotmail.com / baranek.thaina@gmail.com ;THAINA MARIA BARANEK;(11) 89164190 / (11) 46673600
CAPS AD - JAÚ;JAÚ;caps.saude@jau.sp.gov.br;ANDRESSA FADONI DA SILVA;(14) 99849656 / (14) 36265527
CAPS AD - LIMEIRA;LIMEIRA;saude.capsad@limeira.sp.gov.br;PEDRO HENRIQUE PIROVANI RODRIGUES;(19) 34434428 /(19) 999944345
CAPS AD - LINS;LINS;capsad@lins.sp.gov.br;MARIANA DE OLIVEIRA TREVISI;(14) 997790121 / (14) 35234260
CAPS AD - MORUNGABA;MORUNGABA;capsmorungaba.coordenacao@gmail.com / saudeemocionalmorungaba@gmail.com;PATRICIA MARIA - PSICOLOGA COORDENADORA ;(11) 40141176 / (11) 943621999 
CAPS AD - PIRASSUNUNGA;PIRASSUNUNGA;capsad@pirassununga.sp.gov.br;NAIRA LIVIA DENOFRE;(19) 35628565
CAPS AD - PRAIA GRANDE;PRAIA GRANDE;capsad@praiagrande.sp.gov.br;SYLVANA DE ALMEIDA;(13) 34946333 / (13) 34965160
CAPS AD - PROGRAMA CUIDAR;ITANHAÉM;elizabeth.krajner@itanhaem.sp.gov.br;ELIZABETH KRAJNER;(13) 34275125
CAPS AD - RIBEIRAO PIRES;RIBEIRAO PIRES;capsadribeiraopires@gmail.com;FERNANDA SOUZA E ARAUJO;(11) 48274509 / (11) 975088501
CAPS AD - MATÃO;MATÃO;capsad@matao.sp.gov.br;SEM INFORMAÇÃO;(16) 33849328 / (16) 33849303
CAPS AD - SÃO CARLOS;SÃO CARLOS;capsadsaocarlos@gmail.com / karina.lourenco@saocarlos.sp.gov.br;KARINA BISPO LOURENÇO;(16) 33743388 / (16) 33742264
CAPS AD -IBITINGA;IBITINGA;capsad.ibitinga@gmail.com;TALITA R. VALLE DE CARVALHO;(16) 33429576
CAPS AD - SANTA BÁRBARA D`OESTE;SANTA BÁRBARA D`OESTE;capsad.saude@santabarbara.sp.gov.br;DENISE SALES;(19) 34581799 / (19) 974225008
CAPS AD - SÃO CAETANO DO SUL;SÃO CAETANO DO SUL;caps-ad@saocaetanodosul.sp.gov.br;ANDRESSA;(11) 42337540
CAPS AD - SÃO SEBASTIÃO;SÃO SEBASTIÃO;capsad.fspss@gmail.com / carlotabr@hotmail.com;CARLA BRASIL;(12) 38913416 / (12) 997222551
CAPS AD - TABOÃO DA SERRA;TABOÃO DA SERRA;capsad@taboaodaserra.sp.gov.br / rafael.goes@ts.sp.gov.br;RAFAEL DALGE DE GOES;(11) 47885608
CAPS AD - TATUÍ;TATUÍ;caps2@tatui.sp.gov.br;CINTÍA SCAGLIONI - DIRETORA RAPS;(15) 32514370 / (15) 997711098
CAPS AD AMERICANA;AMERICANA;capsad@saudeamericana.com.br;TADEU DONIZETE LEITE;(19) 1934057595
CAPS AD ARARAS;ARARAS;capsadararas@gmail.com;EDNA / ADRIANA / VINICIUS;(19) 35420905
CAPS AD BOITUVA;BOITUVA;capsad@boituva.sp.gov.br;ELIENAI DE FARIAS GAMA SIQUEIRA;(15) 32681516 / (11) 98537770
CAPS AD CUBATÃO;CUBATÃO;capsadcubatao@hotmail.com;MAURO RAMOS;(13) 33726524
CAPS AD DE BRAGANÇA PAULISTA;BRAGANÇA PAULISTA;capsadbp@gmail.com;ANDRÉIA APARECIDA DANTAS DE VASCONCELLOS (ENFERMEIRA RESPONSÁVEL PELO SERVIÇO);(11) 46031516
CAPS AD- GUACIRA CAMPOS RODRIGUES - ITAPETININGA;ITAPETININGA;capsad.itapetininga@gmail.com;NÁDIA CRISTINA PROENÇA DOS SANTOS -ASSISTENTE  SOCIAL;(15) 32727277 / (15) 981680492
CAPS AD HELENA VIRGINIA - JARINU;JARINU;sm@jarinu.sp.gov.br; RITA APARECIDA PIMENTA PASSARETTI  - ENFERMEIRA COORDENADORA;(11) 40161649
CAPS AD II - ARAÇATUBA;ARAÇATUBA/SP;admcapsad@ascbeneditafernandes.com.br;LUIS ANTONIO LULLO;(18) 36213463
CAPS AD II - SÃO VICENTE;SÃO VICENTE;capsad@saudesaovicente.sp.gov.br;RICHARD DAVID KLOCKNER;(13) 34639557
CAPS AD III - ITAPEVI;ITAPEVI;capsad3itapevi@gmail.com;RENATO YURI FIRMINO;(11) 47742983 / (11) 974869512
CAPS AD III - SÃO BERNARDO DO CAMPO;SÃO BERNARDO DO CAMPO;sheila.almendro@saobernardo.sp.gov.br;SHEILA ALMENDRO - COORDENADORA ;(11) 26306519 / (11) 26306531
CAPS AD III INDAIATUBA;INDAIATUBA;saude.caps@indaiatuba.sp.gov.br;MYCHELE CAPELLINI TAGUCHI;(19) 38167878
CAPS AD III MOCOCA;MOCOCA;capsadmococa@hotmail.com;LUSZ NICANOR BESTIOL JUNIOR - DIRETOR DE SAÚDE ;(19) 36567537
CAPS AD III SUL - ENGENHEIRO SCHIMIDT - SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;sms.capsad3@riopreto.sp.gov.br;LETICIA CONTIERO VIEIRA;(17) 38081596
CAPS AD ITAPEVA;ITAPEVA;caps.ad_saude@itapeva.sp.gov.br;VANESSA PINN - COORDENADORA ;(15) 35211260 / (15) 991252680
CAPS AD ITAPIRA;ITAPIRA;capsaditapira@gmail.com;JOSÉ ANTÔNIO ZAGO;(19) 38132327
CAPS AD ITATIBA;ITATIBA;capsad@unidadesaude.itatiba.sp.gov.br;ROSÂNGELA SANTOS OLIVEIRA;(11) 45943557
CAPS AD LEME;LEME SP;capsad@leme.sp.gov.br;CAROLINA PEREIRA BERSAN;(19) 35543526
CAPS AD MAIRIPORÃ;MAIRIPORÃ;sms.capsad@mairipora.sp.gov.br;ANA SIDNÉIA RIBEIRO SILVA;(11) 44193790
CAPS AD OURINHOS;OURINHOS;capsad.ourinhos@gmail.com;VANESSA APARECIDA GOUVEA DA SILVA;(14) 33263069 / (14) 99635490
CAPS AD POÁ;POÁ;saudemental@poa.sp.gov.br;SUSI GONÇALVES;(11) 46360732
CAPS AD PROJETO TRILHAR;CARAPICUÍBA SP;coord.capsad@carapicuiba.sp.gov.br / emiliahato@gmailcom;EMILIA Y. HATO DE ALMEIDA;(11) 41843745 / (11) 996739276
CAPS AD SALTO;SALTO;caps_ad@salto.sp.gov.br / marcia.enf@salto.sp.gov.br;MÁRCIA RIBEIRO ARRUDA;(11) 48408315 / (11) 977738567
CAPS AD VIDA NOVA;SÃO JOÃO DA BOA VISTA;saude_capsad@saojoao.sp.gov.br;ADRIANA MARIA ZONTA;(19) 36318570
CAPS -BURI;BURI;capsburi@hotmail.com;TATIANA;(15) 1535461812 / (15) 996040950
CAPS CAPÃO BONITO;CAPÃO BONITO;asmentalcirandascb@gmail.com / alinevendrami@yahoo.com.br;ALINE VENDRAMI;(15) 99741585 / (15) 35422005
CAPS GUAPIARA;GUAPIARA;capsguapiara2017@gmail.com;JOSE ROBERTO DE OLIVEIRA;(15) 35477609 / (15) 997742527
CAPS I- BERTIOGA;BERTIOGA;caps.bertioga@gmail.com;VANESSA XAVIER OLIVEIRA;(13) 33132026 / (13) 33132065
CAPS I -  AGUDOS;AGUDOS;caps@agudos.sp.gov.br;ANA CAROLINA V. DE O. BARBOSA, COORDENADORA/PSICÓLOGA;(14) 32610507
CAPS I -  IGARAÇU DO TIETÊ;IGARAÇU DO TIETÊ;caps@igaracudotiete.sp.gov.br;MARIA AUGUSTA FANTINATI;(14) 36448494
CAPS I  - NOVO HORIZONTE;NOVO HORIZONTE;capsnh@novohorizonte.sp.gov.br;ÉRIKA MG TEIXEIRA;(17) 35432512
CAPS I -  PERUIBE;PERUIBE;caps@peruibe2.sp.gov.br;JULIANA OLIVETTI GUZMAN NASCIMENTO;(13) 34513044
CAPS I  - BORBOREMA;BORBOREMA;caps@borborema.sp.gov.br;CAMILA ZUTIN GANZAROLLI;(16) 32661263 / (16) 996086273
CAPS I  -CASA BRANCA;CASA BRANCA;saudemental@casabranca.sp.gov.br;ALFREDO - DIRETOR ;(19) 36712428
CAPS I - AGUAI ;AGUAI;saudemental@aguai.sp.gov.br ;MARTA CRISTINA PERINA PINTO GERENTE;(19) 36537176 / (19) 36537174
CAPS I - ARAÇARIGUAMA;ARAÇARIGUAMA;caps@aracariguama.sp.gov.br / marciaguerreira1@hotmail.com;MARCIA APARECIDA DO CARMO DE OLIVEIRA;(11) 41364903 / (48) 984162776
CAPS I - PINTANGUEIRAS;PITANGUEIRAS;caps.smspitangueiras@hotmail.com;MATEUS APARECIDO CARDOSO SANTOS;(16) 988188178
CAPS I - BARRA BONITA;BARRA BONITA SP;csmentalbarra@gmail.com;ELIZANDRA CRISTINA DE LUCCI ALMEIDA;(14) 36414163
CAPS I - BATATAIS;BATATAIS;capsbatatais@yahoo.com.br;CAMILA VIANNA DUARTE E LIDIANE VASCONCELOS BATISTA DE OLIVEIRA - ASSISTENTE SOCIAL;(16) 36629334 / (16) 36628333
CAPS I - CAPELA DO ALTO;CAPELA DO ALTO;caps1.saude@capeladoalto.sp.gov.br;BÁRBARA CAROLINE DE MORAES COSTA - ENFERMEIRA ;(15) 32672017 / (15) 99735869
CAPS I - DOIS CÓRREGOS;DOIS CÓRREGOS;caps@doiscorregos.sp.gov.br;CINTIA RENATA - COORDENADORA;(14) 36521999
CAPS I - DOM QUIXOTE - CAJATI;CAJATI;capscajati@outlook.com;MARLY RYOKO AMAYA (ENFERMEIRA);(13) 38541643
CAPS I - IGUAPE;IGUAPE;caps1igp@hotmail.com;JULIANA PEREIRA ROSA - ASSISTENTE SOCIAL;(13) 982252513 / (13) 38414687
CAPS I - LENÇOIS PAULISTA;LENÇOIS PAULISTA;saude.mental@lencoispaulista.sp.gov.br;CRISTINA APARECIDA MORRONE ;(14) 32636095 / (14) 23647202
CAPS I  LUCELIA;LUCELIA SP;capslucelia@gmail.com;DEBORA OLIVEIRA DE CARVALHO;(18) 35511840
CAPS I - MACATUBA;MACATUBA;caps@macatuba.sp.gov.br;SIMONE APARECIDA RIBEIRO;(14) 32681692 / (14) 998076925
CAPS I - MENTES BRILHANTES - CORDEIRÓPOLIS;CORDEIRÓPOLIS;caps.saudecordeiro@uol.com.br;MARISA APARECIDA DIORIO;(19) 35468235
CAPS I - PARANAPANEMA;PARANAPANEMA;caps.saude@paranapanema.sp.gov.br;ELIANE FORTES;(14) 37131468
CAPS I - PEDERNEIRAS;PEDERNEIRAS;psilveira@pederneiras.sp.gov.br;PAULA DE FONTES SILVEIRA;(14) 32844442 / (14) 996820112
CAPS I - PORTO FERREIRA;PORTO FERREIRA;capsportoferreira@gmail.com;ADENILSON ALEXANDRE ANDRADE SILVA;(19) 35854790 / (19) 993891392
CAPS I - REGISTRO;REGISTRO;sjbmerfa@hotmail.com;STTEFANO JUAN BOMFIM MERFA - COORDENADOR TÉCNICO EM SAÚDE MENTAL;(13) 38223244
CAPS I - RUA JOSÉ LEONEL PUPO, Nº783, PONTAL;PONTAL;saudementalpontal@gmail.com;MARIA TEREZA BERSANI STRABELLI;(16) 39537132
CAPS I - RUA NOVE DE JULHO 1403 SANTA CASA - OLIMPIA;OLIMPIA;saudemental@olimpia.sp.gov.br;RAQUEL OLIVEIRA;(17) 32794200
CAPS I - RUACORONEL PIRES PENTEADO, 600 - MONTE ALTO;MONTE ALTO;caps@montealto.sp.gov.br;JANDERSON ANTENOR DO NASCIMENTO;(16) 32432366
CAPS I - TANABI - RUA: FRANCISCO JOSÉ VARGAS Nº 454 - CENTRO - TANABI/SP;TANABI;capstanabi@gmail.com; DAIANA CARLA R DA S C BARBOSA COORDENADORA;(17) 997589313 / (17) 32721069
CAPS I - TAPIRATIBA;TAPIRITIBA;caps.tapiratiba@gmail.com;MONICA APARECIDA - ENFERMAGEM ;(19) 36577186 / (19) 999856822
CAPS I - TARUMÃ;TARUMÃ;caps@taruma.sp.gov.br; ARACELLI EDUARDA DE SOUZA BENTO;(18) 996325162 / (18) 33734723
"CAPS I ""CUIDAR"" - RUA SÃO JOSÉ, Nº 162, CENTRO - SANTO ANTÔNIO DA POSSE";SANTO ANTÔNIO DE POSSE;capscuidarsaposse@gmail.com;CARLOS EDUARDO JULIO MORELLO;(19) 38962240
CAPS I BARIRI;BARIRI;caps@bariri.sp.gov.br;ELIANA GUERRA;(14) 36628002
CAPS I ESPERANÇA -  APIAÍ;APIAÍ;caps@apiai.sp.gov.br;FRANCISCA HELENA NUNES - COORDENADORA E ARTICULADORA DE SAÚDE MENTAL ;(15) 35521557 / (15) 998017488
CAPS I POMPEIA;POMPEIA SP;josestefano.destro@dhspompeia.sp.gov.br / regiane.oliveira@pompeia.sp.gov.br;JOSÉ STEFANO;(14) 34052805
CAPS I -TECENDO REDES -ELDORADO;ELDORADO;rapseldorado@gmail.com;DAYANE APARECIDA DE MORAES - ASSISTENTE SOCIAL;(13) 38711297
CAPS II - AV. CAPITÃO JOSÉ CAMARGO DE LIMA, Nº353 - TAQUARITINGA;TAQUARITINGA;caps@taquaritinga.sp.gov.br;IRENIDES DE FATIMA CARDOSO FERNANDES;(16) 32536033 / (16) 997007024
CAPS II - AVARÉ;AVARÉ;caps2@avare.sp.gov.br;THAIS;(14) 37310643
CAPS II - AVENIDA FLORENCIO TERRA, Nº50;ITÁPOLIS;capsitapolis@gmail.com;ALINE L. PAVAN ZECHI;(16) 33625080
CAPS II - RUA SANTO ADNRÉ, Nº608, NOVA JABOTICABAL, JABOTICABAL;JABOTICABAL;caps@jaboticabal.sp.gov.br;THAÍS SOUZA PAULILLO;(16) 32037919 / (16) 32035674
CAPS II - SALTO DE PIRAPORA;SALTO DE PIRAPORA; saudemental@saltodepirapora.sp.gov.br;ANA PAULA LOPES QUEIROZ;(15) 32922002
CAPS II - TUPA;TUPA;capstup@outlook.com;RENATO RIBAS ;(14) 34912311
CAPS II - VALINHOS;VALINHOS;coordsaudemental@valinhos.sp.gov.br;SILVIA MARIA LOPES;(19) 38292524
CAPS II IBIÚNA;IBIUNA SP;saudemental.ibiuna@gmail.com;MARIA CONSUELO SOARES;(15) 32483022
CAPS III - 18 DE MAIO - RUA M 9, 66, JARDIM CHERVESON CEP 13503260;RIO CLARO;caps3rc@gmail.com / saudemental.reab.rc@gmail.com;NATHALIA C. G. DE ALMEIDA RODRIGUES;(19) 35221421 / (19) 981704721
CAPS III DE NOVAIS - RUA MAJOR JOÃO BATISTA NOVAIS, 466;NOVAIS;saude@novais.sp.gov.br;DEISE CLAUDIA ZANINI ALONSO;(17) 35611180 / (17) 35611181
CAPS MIRANDÓPOLIS;MIRANDÓPOLIS;caps@mirandopolis.sp.gov.br;SUELI DA SILVA NASCIMENTO;(18) 991456510 / (18) 37015194
CAPS NOVA ODESSA;NOVA ODESSA;caps@novaodessa.sp.gov.br;MARINA FOUREAUX BARBOSA;(19) 34766051
CAPS PARAIBUNA;PARAIBUNA-SP;saude.caps@paraibuna.sp.gov.br;ROSELI CORREA DOS SANTOS;(12) 39742130
CAPS PIEDADE;PIEDADE;caps.social@piedade.sp.gov.br / harlene.assumpcao@gmail.com;HARLENE;(15) 974016832 / (15) 33442222
CAPS REDENÇÃO;SÃO PAULO;janaina.moura@iabas.org.br;JANAINA MOURA;(11) 989329488
CAPS RENASCER - CESÁRIO LANGE;CESÁRIO LANGE;coordenacaosaudemental@cesariolange.sp.gov.br;NATHALIA ALVES DOS SANTOS - PSICOLOGA / COORDENADORA ;(15) 32468057
CAPS-AD NORTE VILA CLEMENTINA -  SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;sms.capsadnorte@riopreto.sp.gov.br;RAFAEL ;(17) 32240728
CASA PAI - ILHA SOLTEIRA;ILHA SOLTEIRA/SP;casapai.isa@gmail.com;JACKELINE PRICILLLA M. DOS SANTOS;(18) 37434334
CEM - RUA JOÃO ALVES DELFINO, Nº419, CENTRO;RIBEIRÃO BONITO;saude@ribeiraobonito.sp.gov.br;VIVIAN CRISTINA CERAZI;(16) 33441488
CENTRO DE ATENÇÃO PSICOSSOCIAL - CAPS I SANTA FÉ DO SUL;SANTA FÉ DO SUL;caps@santafedosul.sp.gov.br;ALEXANDRA RAFAELA COSTA SCHIAVINATO COORDENADORA;(17) 36410797
CENTRO DE ATENÇÃO PSICOSSOCIAL - CAPSI;MORRO AGUDO;capsmorroagudosp@gmail.com;CLEYTON DA SILVA OLIVEIRA - ASSISTENTE SOCIAL ;(16) 38516370
"CENTRO DE ATENÇÃO PSICOSSOCIAL ""DR. TAKEO KIMURA""";BASTOS SP;caps@bastos.sp.gov.br;;(14) 34781600
CENTRO DE ATENÇÃO PSICOSSOCIAL I - CAPS I - SÃO MIGUEL ARCANJO;SÃO MIGUEL ARCANJO;centro.psicossocialsma@gmail.com;MARIA APARECIDA FOGAÇA ;(15) 32794640
CENTRO DE ESPECIALIDADES WAGNER LUIS DA SILVA - SAÚDE MENTAL PIRANGI;PIRANGI;ament@pirangi.sp.gov.br;IZILDA CASSIA - ASSISTENTE SOCIAL ;(17) 33861611
CENTRO DE SAÚDE - CAJOBI;CAJOBI;smsaude@cajobi.sp.gov.br;LUCIANA CECILIA BATISTA - COORDENADORA DE DEPARTAMENTO ;(17) 988067046 / (17) 35633443
CENTRO DE SAÚDE BENEDITO DE SOUZA - PRATANIA;PRATANIA;naircraspratania@gmail.com;NAIR OLIVEIRA DE CARVALHO- ASSISTENTE SOCIAL;(14) 38441240 / (14) 997921448
CENTRO DE SAÚDE DE BÁLSAMO;BÁLSAMO;coordenadoriasaudebalsamo@hotmail.com;MANOEL JOSÉ DA SILVA - DIRETOR MUNICIPAL DE SAÚDE;(17) 32641616 / (17) 32641320
CENTRO DE SAÚDE DE CAMPINA DO MONTE ALEGRE;CAMPINA DO MONTE ALEGRE ;saude@campinadomontealegre.sp.gov.br;ALESSANDRA DA CRUZ TEOTONIO COORDENADORA DE SAÚDE ;(15) 32561338
CENTRO DE SAÚDE DE PALESTINA;PALESTINA;saude@palestina.sp.gov.br;DEILHE CRISTINA DOS SANTOS  ASSISTENTE SOCIAL CRESS: 67 204 ;(17) 32933230 / (17) 991037307
CENTRO DE SAUDE DE PARAPUÃ;PARAPUÃ;agendamento.parapua.sp@gmail.com;ANA CLAUDIA NEVES DOS SANTOS;(18) 35821623 / (18) 99633770
CENTRO DE SAÚDE ELISIÁRIO;ELISIÁRIO;cselisiario@gmail.com;RENATA FERNANDES NADI - COORDENADORA ;(17) 35291207 / (17) 997770009
CENTRO DE SAUDE II DR. JOSÉ CARQUIJO - AV. TIRADENTES 934 - SANTA CRUZ DO RIO PARDO;SANTA CRUZ DO RIO PARDO;saudementalscrp@gmail.com ;KARLA AP. PINHEIRO PEDRO;(14) 33721551 / (14) 99648854
CENTRO DE SAÚDE III - ARY TOLEDO SILVA  ;MARIÁPOLIS;mariapolissaude@gmail.com;CRISTINA PENHA - GERENTE;(18) 35861234 / (18) 35861136
CENTRO DE SAÚDE III - TRES FRONTEIRA;TRÊS FRONTEIRAS;saude@tresfronteiras.sp.gov.br;SUZENETE REGNA DE CARLIS;(17) 36911357
CENTRO DE SAÚDE III - AV.OLAVO BILAC, Nº791, CENTRO;RUBINÉIA;smsrubineia@gmail.com;GILBERTO JOSÉ BELLOTO;(17) 36611104 / (17) 36611399
CENTRO DE SAÚDE III - PATROCÍNIO PAULISTA;PATROCÍNIO PAULISTA;medicamentos@patrociniopaulista.sp.gov.br;FABIANA BURGO RODRIGUES ;(16) 982067076 / (16) 31451526
CENTRO DE SAUDE III - RUA :RIO DE JANEIRO N° 595 NIPOÃ /SP;NIPOÃ;regulacao@nipoa.sp.gov.br;SABRINA ELAINE DAS G. BIANCHI MARQUESI  - COORDENADORA ;(17) 32779010
CENTRO DE SAÚDE III - RUA ANTONIO FACINCANI, Nº385, CENTRO;SANTA CLARA D'OESTE;saude@santaclaradoeste.sp.gov.br;MARIANE DE FÁTIMA FAVALESSA;(17) 36631109 / (17) 36631456
CENTRO DE SAUDE III - RUA EPISCOPAL, Nº1070, TABATINGA;TABATINGA;saude@tabatinga.sp.gov.br;DANIELA DE CASSIA ABREU;(16) 33219500
